NN_M,NN_PSM,City,County?,Agency,State,Variable,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 
0,0,Nacogdoches,0,Nacogdoches Police Dept,TX,Property Crime Total,1182,1327,1327,1590,1661,1585,1534,1439,1360,1564,1146,989,916,900,1630,1306,1207,1014,1211,1227,1173,970,1159,1149,1401,1406,1260,1204,1126,1221
0,0,Nederland,0,Nederland Police Dept,TX,Property Crime Total,624,744,857,839,729,852,760,839,804,822,771,897,758,887,874,863,1017,772,796,818,668,686,732,582,639,513,643,529,493,439
0,0,New,0,New Braunfels Police Dept,TX,Property Crime Total,1519,1885,1766,1659,1859,1217,1938,1811,1671,1587,1710,1975,2055,2152,2307,2502,2305,2434,2669,2473,2028,2152,2078,2144,2149,1966,1943,2110,2153,2101
0,0,North,0,North Richland Hills Police Dept,TX,Property Crime Total,2377,2780,2708,2753,2945,3067,3009,2602,2287,2110,2182,2281,2270,2190,2131,2257,2416,2799,2681,2660,2144,2362,2256,2198,2041,2111,1904,1572,1637,1542
0,0,Odessa,0,Odessa Police Dept,TX,Property Crime Total,9116,9951,9692,10474,11415,11487,11952,9585,8077,6355,5634,5643,4837,4819,4222,4323,4686,5208,4639,3976,3720,3654,4302,3970,4109,3523,3134,3717,4374,4217
0,0,Orange,1,Orange County Sheriff Department,TX,Property Crime Total,842,858,804,924,747,725,918,850,775,822,819,874,904,845,736,727,847,1071,900,731,700,957,785,620,737,852,817,641,651,604
0,0,Orange,0,Orange Police Dept,TX,Property Crime Total,1686,2525,2467,2198,2148,2259,1910,1838,2212,1879,1419,1570,1535,1326,1071,1174,1017,1129,1157,1244,1237,1252,1298,1198,1139,1017,884,587,577,495
0,0,Palestine,0,Palestine Police Dept,TX,Property Crime Total,1295,1520,1486,1407,1302,1447,1337,1149,1140,1266,1283,1348,1285,1109,1049,958,933,959,969,844,737,726,722,943,924,729,947,878,1107,765
0,0,Pampa,0,Pampa Police Dept,TX,Property Crime Total,1046,1291,1233,1177,1277,1084,1037,907,779,851,986,872,855,888,638,702,1151,1415,1416,830,881,890,895,836,850,805,788,794,716,820
0,0,Paris,0,Paris Police Dept,TX,Property Crime Total,2789,2956,2850,2964,2992,2507,2955,2393,2417,2428,2430,2165,2154,2376,2541,2415,2891,2854,2530,2563,2555,1781,1561,1491,1724,1607,1403,1328,1219,1087
1,1,Parker,1,Parker County Sheriff Department,TX,Property Crime Total,934,1010,1208,1277,1143,983,1191,913,902,928,878,796,735,803,659,811,901,1055,1075,1167,1164,1064,1091,1097,1100,1128,1061,1174,990,944
1,1,Pasadena,0,Pasadena Police Dept,TX,Property Crime Total,6097,6931,7812,8375,9241,9465,9881,8489,7495,6045,5766,6375,6346,5331,5664,5799,6156,6565,5975,5623,4914,4848,5014,4954,5610,5551,5266,5610,5501,4630
0,0,Pearland,0,Pearland Police Dept,TX,Property Crime Total,843,951,955,1069,1004,947,1057,786,803,675,653,803,677,901,1023,1084,1263,1296,1251,1213,1378,1564,1869,1832,2019,1751,1726,1753,1935,2068
1,1,Pflugerville,0,Pflugerville Police Dept,TX,Property Crime Total,136,137,113,108,99,110,145,129,193,180,203,266,258,272,326,390,327,420,466,506,438,640,786,886,875,898,875,802,822,852
0,0,Pharr,0,Pharr Police Dept,TX,Property Crime Total,1532,1731,2077,2326,2770,3044,2998,3356,3378,2693,2501,2761,2690,2698,2715,3010,2615,2782,3083,2819,2912,3339,3696,3731,3958,3692,2452,2324,2509,2385
0,0,Plainview,0,Plainview Police Dept,TX,Property Crime Total,1447,1586,1621,1590,1378,1364,1658,1539,1211,1105,1293,1203,1041,1024,1099,1503,1134,1242,1388,1686,1353,1309,1203,1066,1085,926,913,906,877,831
1,1,Plano,0,Plano Police Dept,TX,Property Crime Total,5388,5877,6090,6010,6503,6511,7166,6746,6454,6419,7007,7749,6989,7358,7101,7247,8399,8351,9453,8603,8700,8586,7964,8123,8018,6737,6764,6453,5993,5508
0,0,Polk,1,Polk County Sheriff Office,TX,Property Crime Total,478,602,663,647,680,506,698,679,614,524,591,538,489,479,564,469,520,586,756,695,671,724,829,717,642,741,618,742,569,667
0,0,Portland,0,Portland Police Dept,TX,Property Crime Total,453,473,481,465,494,495,413,571,435,495,429,367,515,607,481,638,451,452,467,394,365,345,396,418,479,480,452,494,570,536
0,0,Raymondville,0,Raymondville Police Dept,TX,Property Crime Total,263,287,318,367,379,514,488,527,324,374,432,408,470,410,342,329,387,510,571,648,841,783,652,570,589,541,527,398,404,564
0,0,Red,0,Red Oak Police Dept,TX,Property Crime Total,99,140,196,166,205,223,249,219,161,176,215,227,228,243,198,159,203,394,468,330,244,219,271,238,237,221,275,283,360,338
1,1,Richardson,0,Richardson Police Dept,TX,Property Crime Total,4224,4576,4861,4591,4499,4572,4659,4459,4172,3489,3603,3515,3137,3194,3377,3596,3706,3543,3630,3527,3478,3110,3113,3386,3584,3006,2808,3004,2758,2405
0,0,Richmond,0,Richmond Police Dept,TX,Property Crime Total,361,394,491,499,670,710,781,787,633,482,515,584,526,443,382,300,329,521,492,408,412,328,293,294,327,226,289,214,178,332
0,0,Rio,0,Rio Grande Police Dept,TX,Property Crime Total, , , , , , , , , , , ,615,699,567,522,430,397,341,250,518,501,430,540,569,621,473,489,451,509,346
0,0,Robinson,0,Robinson Police Dept,TX,Property Crime Total,82,87,124,197,225,208,178,129,146,130,120,102,103,112,120,194,196,162,181,139,242,230,196,245,206,200,174,191,211,120
0,0,Robstown,0,Robstown Police Dept,TX,Property Crime Total,638,779,730,819,841,637,474,678,682,561,662,578, , ,1090,1571,1205,664,709,695,698,647,689,736,537,481,405,425,455,513
0,0,Rockport,0,Rockport Police Dept,TX,Property Crime Total,278,375,487,576,568,539,607,592,543,523,519,594,613,569,763,731,718,661,745,808,834,634,521,417,522,373,373,515,596,537
0,0,Rockwall,0,Rockwall Police Dept,TX,Property Crime Total,423,482,523,432,571,502,498,536,435,388,427,472,442,454,510,548,710,655,746,749,747,812,822,1035,1047,976,1022,858,733,761
0,0,Rosenberg,0,Rosenberg Police Dept,TX,Property Crime Total,1327,1545,1847,1430,1531,1584,1736,1719,1604,1313,1385,1471,1466,1276,1248,1183,988,1061,890,952,759,829,862,710,673,655,632,638,676,725
0,0,Round,0,Round Rock Police Dept,TX,Property Crime Total,1149,1444,1410,1449,1229,1112,1197,1187,1337,1256,1154,1345,1173,1018,962,1373,1578,1697, ,1672,2205,1968,2400,2689,2772,3016,2446,2636,2428,2189
0,0,Rowlett,0,Rowlett Police Dept,TX,Property Crime Total,597,613,656,643,638,821,871,943,927,1090,1073,1066,1093,935,992,968,1015,1026,1081,1190,1033,1116,1175,988,1091,932,977,1007,901,804
0,0,Royse,0,Royse City Police Dept,TX,Property Crime Total,13,63,68,87,118,140,118,99,104,140,131,106,97,55,54,39,54,76,78,68,100,79,116,194,172,146,128,138,104,78
0,0,Rusk,1,Rusk County Sheriff Department,TX,Property Crime Total,390,587,613,745,775,749,665,610,627,550,502,572,584,640,539,524,539,550,717,673,599,612,598,642,543,567,665,689,581,576
0,0,Sachse,0,Sachse City Police Dept,TX,Property Crime Total,103,127,159,120,114,115,112,99,96,83,108,116,126,101,103,136,126,180,248,194,157,190,264,282,220,233,216,198,228,201
0,0,Saginaw,0,Saginaw Police Dept,TX,Property Crime Total,300,402,434,412,456,364,362,317,283,293,284,289,291,326,324,307,389,395,408,515,555,490,481,570,598,575,489,510,444,481
0,0,San,0,San Angelo Police Dept,TX,Property Crime Total,5012,4732,4829,5577,6348,5454,5190,5224,4349,4518,4501,4822,4541,4765,4053,4459,5280,5329,6047,5872,5378,4573,4557,4533,4295,4238,3624,2994,3646,3864
0,0,San Antonio,0,San Antonio Police Dept,TX,Property Crime Total,78198,93972,112856,111500,115515,111044,109913,102003,90946,81208,74753,82969,79401,72439,70437,78424,86952,84363,83000,81255,80987,78621,84143,97564,91651,88353,80868,82668,79994,77392
0,0,San,0,San Benito Police Dept,TX,Property Crime Total,895,1150,1178,970,863,937,903,891,1392,1287,1548,2070,2020,1467,1344,1620,2452,2046,2217,2682,1631,1558,1356,1045,1183,1153,1140,1328, ,1100
0,0,San,1,San Jacinto County Sheriff Department,TX,Property Crime Total,341,517,507,521,557,418,421,433,368,420,453,506,553,498, ,454,434,459,589,448,516,540,523,589,686,761,738,718,657,547
0,0,San,0,San Juan Police Dept,TX,Property Crime Total,358,468,474,799,927,843,709,746,662,662,777,792,908,875, , ,1203,1207, ,1442,1893,1602,1648,1647,1779,1680,1391,1224,1071,1140
0,0,San,0,San Marcos Police Dept,TX,Property Crime Total,2121,2223,1802,1550,1710,1793,1549,1506,1498,1400,1343,1340,1658,1931,1323,1400,1341,1448,1617,1499,1417,1369,1650,1682,1702,1726,1568,1557,1885,1753
0,0,Santa,0,Santa Fe City Police Dept,TX,Property Crime Total,255,251,284,285,406,350,414,336,341,366,359,344,220,276,278,324,371,381,366,308,398,333,280,255,298,255,215,243,272,268
0,0,Schertz,0,Schertz Police Dept,TX,Property Crime Total,151,239,209,274,480,470,450,405,375,402,313,416,454,413,358,429,417,477,409,449,514,622,626,661,630,608,626,642,587,654
1,1,Seabrook,0,Seabrook Police Dept,TX,Property Crime Total,176,317,236,362,336,330,386,398,354,312,345,382,307,244,258,272,297,311,262,216,236,189,245,231,242,230,201,207,183,183
0,0,Seagoville,0,Seagoville Police Dept,TX,Property Crime Total,431,557,722,690,756,546,590,535,626,457,501,505,554,422,459,498,489,554,674,638,704,616,596,498,603,539,514,635,616,565
0,0,Seguin,0,Seguin Police Dept,TX,Property Crime Total,1149,1635,1877,1856,1579,1648,1454,1455,1182,1064,1393,1437,1558,1383,1498,1563,1633,1593,1679,1324,1212,1238,1223,1384,1306,1219,1254,1146,1118,988
0,0,Sherman,0,Sherman Police Dept,TX,Property Crime Total,2495,3063,4180,3365,3443,2912,2647,2403,2436,2379,2303,2345,2469,2127,2058,1980,2203,2198,2056,1864,1932,1611,1529,1560,1596,1456,1549,1542,1316,1150
0,0,Smith,1,Smith County Sheriff Department,TX,Property Crime Total,1766,2333,2307,2510,2281,2060,2112,2103,2157,2200,2157,2067,2435,2167,1896,1643,1686,1727,1863,1921,2044,1809,1828,1903,1852,2021,2043,1936,1867,1852
0,0,Snyder,0,Snyder Police Dept,TX,Property Crime Total,219,314,248,277,270,306,353,431,314,418,336,393,276,288,302,328,313,263,300,257,243,198,322,308,420,362,286,313,486,445
0,0,Socorro,0,Socorro Police Dept,TX,Property Crime Total, , , , , , , , , , ,371,450,530,462,498,525,338,376,477,508,505,564,678,767,707,604,511,445,459,385
0,0,South,0,South Houston Police Dept,TX,Property Crime Total,1050,928,829,1058,1251,1142,1388,1190,1094,952,817,870,781,710,816,820,810,860,917,897,716,763,674,618,763,808,763,848,665,600
0,0,Southlake,0,Southlake Police Dept,TX,Property Crime Total,197,181,238,280,259,241,213,209,211,258,331,330,368,293,231,297,303,359,473,562,536,582,539,633,512,541,462,485,456,414
0,0,Stafford,0,Stafford Police Dept,TX,Property Crime Total,546,594,543,466,625,628,709,674,629,627,659,772,658,689,705,702,807,970,1013,942,959,876,947,974,849,868,769,697,703,727
0,0,Starr,1,Starr County Sheriff Department,TX,Property Crime Total,370,443,424,519,520,558,670,809,870,834,672,532,636,688,593,343,312,340,452,410,337,357,362,404,322,418,336,341,298,432
0,0,Stephenville,0,Stephenville Police Dept,TX,Property Crime Total,627,705,783,634,701,567,626,566,688,726,645,736,651,528,467,548,539,616,508,609,531,602,495,601,584,512,565,620,542,427
0,0,Sugar,0,Sugar Land Police Dept,TX,Property Crime Total,285,409,317,448,657,809,952,912,1138,1165,1153,1700,1648,1948,1847,1703,1690,1756,1675,1712,1829,1609,1578,1729,1854,1879,1429,1541,1613,1400
0,0,Sulphur,0,Sulphur Springs Police Dept,TX,Property Crime Total,727,643,615,757,925,1001,887,781,801,670,734,591,568,396,445,390,424,469,442,494,355,343,252,257,296,289,235,211,247,210
0,0,Sweetwater,0,Sweetwater Police Dept,TX,Property Crime Total,586,539,524,622,664,690,649,707,695,525,537,541,482,354, , , ,370,406,334,386,393,459,359,514,435,404,445,488, 
0,0,Tarrant,1,Tarrant County Sheriff Department,TX,Property Crime Total,1560,1814,1874,1632,1638,1633,1854,1349,1154,1104,1083,1205,1126,1090,1113,1033,864,932,973,1571,1571,1289,1225,1307,1103,1245,1256,1246,1147,971
0,0,Taylor,0,Taylor Police Dept,TX,Property Crime Total,553,646,665,680,793,752,763,666,517,428,352,650,674,536,566,514,442,388,372,284,446,403,504,435,409,425,461,447,493,445
0,0,Temple,0,Temple Police Dept,TX,Property Crime Total,2569,3204,3553,3226,3003,2941,3190,2908,2952,2947,2899,3332,3004,3243,2989,2558,2865,2901,2752,2735,2587,2913,3005,2823,2248,2110,2039,2056,2095,2452
0,0,Terrell,0,Terrell Police Dept,TX,Property Crime Total,889,1026,916,1049,1272,976,949,824,849,859,902,894,926,869,903,923,1115,1219,1169,1271,907,968,1058,920,1001,783,815,685,644,567
0,0,Texarkana,0,Texarkana Police Dept,TX,Property Crime Total,2703,3193,3494,4083,3319,2639,3218,2689,2745,2589,2262,2507,2524,2343,1974,2232,2635,2622,2993,2703,2646,2376,2401,2264,2544,2350,2477,2506,2300,2393
0,0,Texas,0,Texas City Police Dept,TX,Property Crime Total,3088,3689,3436,3526,3787,3808,4048,3794,3620,3328,4022,4409,3781,3754,3715,3166,3332,3344,3064,2853,2812,2552,2410,2085,1901,1752,1566,1700,1745,1652
0,0,The,0,The Colony City Police Dept,TX,Property Crime Total,892,1109,1019,1140,910,1042,885,971,738,766,720,732,882,937,1015,1084,1205,991,911,1029,862,730,699,803,693,617,571,554,556,385
0,0,The,0,The Village Police Dept,TX,Property Crime Total,295,277,275,293,316,271,270,204,188,208,189,164,175,149,143,161,189,170,203,166,172,165,226,169,99,112,117,94,113,79
0,0,Tomball,0,Tomball Police Dept,TX,Property Crime Total,363,415,421,358,361,412,406,547,536,509,340,334,383,305,298,309,402,451,451,483,473,398,455,400,449,436,462,463,423,528
0,0,Travis,1,Travis County Sheriff Department,TX,Property Crime Total,3771,4268,4661,4782,4685,4548,4665,4560,4359,4062,3766,3718,3549,2844,2939,3173,3523,3776,4051,4005,3555,3454,3435,3576,4211,3692,3461,3182,3206,3344
0,0,Trophy,0,Trophy Club Police Dept,TX,Property Crime Total, , , , , , , ,54,76,82,61,75,64,76,38,70,125,57,47,59,52,77,57,71,83,122,127,82,109,66
0,0,Tyler,0,Tyler Police Dept,TX,Property Crime Total,6833,8522,9389,8697,8175,7820,8100,8782,7714,7865,6524,5775,6149,5597, ,5624, ,5970,5280,4838,4728,4313,4408,4479,5862,5153,4441,4506,4116,4090
0,0,Universal,0,Universal City Police Dept,TX,Property Crime Total,460,686,767,756,771,627,662,728,537,617,635,640,518,450,414, ,431,412,385,388,389,371,429,435,470,475,459,458,412,405
0,0,Upshur,1,Upshur County Sheriff Office,TX,Property Crime Total,523,604,532,543,389,346,401,392,353,365,372,306,349,358,339,299,490,513,432,447,555,591,773,632,594,554,624,682,769,621
0,0,Uvalde,0,Uvalde Police Dept,TX,Property Crime Total,433,536,496,503,463,373,259,244,375,310,549,699,608,640,796,1016,840,809,829,941,1084,1177,1010,942,722,575,498,648,976,783
0,0,Van,1,Van Zandt County Sheriff Department,TX,Property Crime Total,566,754,721,668,599,463,531,474,458,458,485,540,724,616,706,640,731,850,982,922,978,923,767,800,716,699,813,706,555,495
0,0,Vernon,0,Vernon Police Dept,TX,Property Crime Total,474,592,524,581,657,395,614,581,566,352,387,332,432,557,500,603,565,705,753,528,620,605,627,327,352,361,384,324,346,295
0,0,Victoria,1,Victoria County Sheriff Office,TX,Property Crime Total,490,630,547,459,475,482,589,589,526,644,549,546,461,444,551,351,369,583,598,683,519,503,462,608,624,555,521,345,545,489
0,0,Victoria,0,Victoria Police Dept,TX,Property Crime Total,3619,3821,4350,3827,3332,3834,4875,4540,4411,4007,3921,3315,3264,2855,2933,3261,3308,3411,4352,4277,3654,2969,3031,3339,4175,3320,3249,2584,2505,2310
0,0,Vidor,0,Vidor Police Dept,TX,Property Crime Total,702,644,517,556,412,412,580,540,494,496,440,514,475,554,498,453,531,544,408,426,471,471,491,364,441,570,558,484,520,423
0,0,Walker,1,Walker County Sheriff Department,TX,Property Crime Total,457,591,797,835,933,869,786,824,731,613,706,634,474,423,566,603,484,410,494,457,451,377,410,434,457,467,418,389,342,335
0,0,Waller,1,Waller County Sheriff Department,TX,Property Crime Total,246,289,258,224,244,174,183,193,148,111,97,121,189,203,236,246,213,216,300,313,288,284,261,243,352,323,292,255,256,319
0,0,Watauga,0,Watauga Police Dept,TX,Property Crime Total,621,704,705,598,572,504,588,479,508,444,585,566,538,432,367,445,632,691,569,688,655,665,536,556,587,550,665,518,459,432
0,0,Waxahachie,0,Waxahachie Police Dept,TX,Property Crime Total,1058,1318,1433,1713,1967,1823,1861,1897,1645,1281,1255,1083,1050,928, ,1117,1269,1071,1197,1058,1238,1014,1028,1016,992,962,1124,1176,1033,984
0,0,Weatherford,0,Weatherford Police Dept,TX,Property Crime Total,854,1182,1099,1025,1032,940,732,710,610,707,622,704,673,664,648,740,778,919,794,888,927,789,769,728,861,691,711,751,660,693
1,0,Webster,0,Webster Police Dept,TX,Property Crime Total,634,724,772,918,1005,1228,1260,1219,919,827,795,774,687,640,543,781,1046,1086,1031,1011,912,1024,858,772,797,725,715,669,639,580
0,0,Weslaco,0,Weslaco Police Dept,TX,Property Crime Total,1614,1983,1895,2057,1895,1666,1836,1801,2143,2307,2405,2273,2428,2309,1976,2151,2369,2068,2534,2201,2447,2147,2044,1979,2485,2725,2215,2814,2916,2653
0,0,West,0,West University Place Police Dept,TX,Property Crime Total,581,502,552,514,428,423,350,358,334,286,185,195,230,234,310,251,258,278,254,241,207,275,200,203,195,187,158,209,183,169
0,0,White,0,White Settlement Police Dept,TX,Property Crime Total,765,828,1113,1096,1147,1367,1247,938,755,809,949,796,737,741,623,547,670,819,767,896,1054,874,578,467,655,694,555,434,497,491
0,0,Wichita,0,Wichita Falls Police Dept,TX,Property Crime Total,7898,8402,8329,9491,10310,9919,9013,7782,7172,7591,6150,5826,5323,5167,5361,5685,7314,7534,7507,7692,7641,6285,6835,6980,5618,5314,4876,5021,4558,4258
0,0,Williamson,1,Williamson County Sheriff Department,TX,Property Crime Total,995,1389,1351,1541,1629,1743,1998,2096,1901,1717,1967,2016,1712,1290,1349,1525,1874,1958,2005,1698,1634,1745,1632,1526,1443,1572,1288,1147,1152,1245
0,0,Wilson,1,Wilson County Sheriff Department,TX,Property Crime Total,179,233,238,169,218,271,321,304,224,233,177,233,209,199,176,144,271,216,238,239,234,159,197,208,320,238,255,284,289,281
0,0,Wise,1,Wise County Sheriff Department,TX,Property Crime Total,414,446,623,593,498,509,540,542,556,457,512,455,456,401,367,235,350,551,498,695,693,640,582,505,482,449,291,542,440,352
0,0,Wood,1,Wood County Sheriff Office,TX,Property Crime Total,382,411,526,606,602,538,444,440,411,450,472,531,521,495,465,514,507,574,525,622,452,537,514,544,535,469,539,565,724,564
0,0,Wylie,0,Wylie Police Dept,TX,Property Crime Total,159,249,304,294,245,307,226,300,215,268,327,341,317,342, ,332,360,402,433,494,586,562,642,714,697,703,685,613,530,499
1,1,Prosper,0,Prosper,TX,Property Crime Total, , , , , , , , , , , , , , , , , , ,44,45,95,149,135,104,92,126,168,196,202,199
0,0,Buda,0,Buda,TX,Property Crime Total, , , , , , , , , , , , , , , , , , , , , , , , , , ,181,225,252,326
0,0,Abilene,0,Abilene Police Dept,TX,Property Crime Rate,5530.2,6140.1,6147.9,5386.5,5408.7,4524,5123.5,4105.3,4158.9,4815.7,4775,4691.6,4950,4555.5,4084.1,3789.4,4051.1,4087.9,5218.9,5034.3,4716.6,4275.1,4283.7,3870.4,4143.9,4183.2,3667.8,3664.3,3994.1,4428
0,0,Addison,0,Addison Police Dept,TX,Property Crime Rate,17730.1,17320.8,13577.9,15112.8,13487,12114.3,13656.6,10791,10378.1,9667.9,10067.9,9854.2,7828.3,7447.8,6641,6332.1,5908.7,7028.5,7038.2,7805.1,8468.4,9107.7,7933.7,6685,6764.9,6602.3,6736.2,5686.6,4912,4271.2
0,0,Alamo,0,Alamo Police Dept,TX,Property Crime Rate,3026,1973.3,1751.7,2621.3,3663.7,3946.4,4078.7,4195.5,2917.5,3409.8,3389.5,5252.1,4681.2,4925.5,7617,7086.7,5518.4,5799.2,6174.2,8402.6,8307.6,6683.3,6213.6,6868,8590.1,7851.6,7519.1,7779.7,7077.8,6528.8
0,0,Alice,0,Alice Police Dept,TX,Property Crime Rate,8401.6,9462.5,9472.2,9025.5,8304.2,9015.6,6447.3,5790.8,6793.7,6852.6,5445.5,5382.6,6127.6,6978.1,6942.6,6580.7,6702.3,7191.8,9329.4,10441.1,8945.1,8255.3,10488.7,8481.5,7070.3,6469.8,5911,6195.5,6140.4,5226.3
1,1,Allen,0,Allen Police Dept,TX,Property Crime Rate,4543,4704.2,4022.5,3480.6,2856.4,3473.7,4775.7,3662.8,3102.2,4027.1,3473,3254.9,3220.2,2991.1,2546.7,2470.5,2889.4,3154.4,2369.8,2326.3,2266,2629.8,2246,1785.2,1769.8,1921.8,1774,1612.9,1314.5,1201.4
0,0,Alton,0,Alton City Police Dept,TX,Property Crime Rate, , , , , , , , , , , , , ,2261.6,1743.6,2463.5,2632.2,2970.1,5779.8,5694.3,5537.8,4891.8,4773.5,2831.9,3482.6,3905.7,2968,2362.8,2202.5,1652.4
0,0,Alvin,0,Alvin Police Dept,TX,Property Crime Rate,5622.6,5957.7,6197.5,5688.1,6115.5,6134.2,7233.8,6317.3,5951.5,4054.6,3718.9,3551.2,3858.8,3800.3,3266,3829.4,4324.4,3795.9,4233.9,4595.7,3767.9,2912.4,3171.9,3904.2,3007,3069.8,3063.1,2684.4,2660.3,2760.2
0,0,Amarillo,0,Amarillo Police Dept,TX,Property Crime Rate,6047.5,7637.4,7253.4,7461.2,7660.8,8068.4,7368.7,7697.8,7756.6,7339,7085.1,7370.3,6724.8,6911.6,7086.3,7080.7,6892,6615.8,6459.7,6336,6447.9,5883.4,6090.8,5491.4,5848,5816.1,4821.6,4527.5,4189.2,4748.5
0,0,Anderson,1,Anderson County Sheriff Office,TX,Property Crime Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Andrews,0,Andrews Police Dept,TX,Property Crime Rate,1580.7,1926.3,1711.6,1963.2,1888.7,2781.4,2980.3,4180.9,2965.1,3069,3374.8,3885.8,2978,2485.5,2610.6,3325.7,3191.2,2668.4,3269.9,3392.3,2588.6,2723.4,3301.5,2667.9,3428.3,2182.5,2049.3,2221.1,2562.1,2356.9
0,0,Angelina,1,Angelina County Sheriff Department,TX,Property Crime Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Angleton,0,Angleton Police Dept,TX,Property Crime Rate,4730.9,4617.2,4828.8,5361.4,5489,4177.4,4318.8,4097.9,4157.5,4493.3,3051.8,3342.2,3126.9,2762,2157.3,2625.5,3014.9,2730.1,2570.9,2761.6,2761.4,2954.4,2891.9,3111.8,3091.3,2650.8,2269.1,3071.2,2692.5,2213.5
0,0,Arlington,0,Arlington Police Dept,TX,Property Crime Rate,8461.1,8419.8,7486.9,8038.6,8016.3,7807.2,8691.5,7733.1,6377.8,6401.1,6098.7,6306.8,5824.3,5772.5,5614.5,5803.2,6584.5,6150.9,5605.5,5424.6,5584,5271.2,5665.3,5361.1,5411.7,5295,4611.8,3983.4,3960.2,3515.1
0,0,Atacosa,1,Atacosa County Sheriff Department,TX,Property Crime Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
0,0,Athens,0,Athens Police Dept,TX,Property Crime Rate,7877,9637.7,9341.7,7944,6817.8,6957.2,6374.4,5342.6,4757.2,4949.4,5327.4,6038.3,5098,4338.5,5520.3,5886.5,5513.7,4491.5,5177.3,5113.9,3978.7,4041.8,4708.8,4721.4,4265.4,4209.3,3891.5,3437.4,4206.1,4219
1,1,Austin,0,Austin Police Dept,TX,Property Crime Rate,9024.3,10426.6,8950.2,10304.4,10113.5,10999.7,10671,10354.7,9652.4,7306,7358.5,7155,7224.3,6461.4,6406.3,5465,5995.1,5800.1,6195,6056.5,6012.5,5856.9,6340.9,5945.4,6245.5,5797.9,5235.3,5219.3,4849.6,4142.4
0,0,Azle,0,Azle Police Dept,TX,Property Crime Rate,5997.2,5817.5,6724.1,6641.8,5919.4,6044.2,6382.5,6120.5,5066.6,4286.9,3786.6,4733.4,4902.9,4117.4,3125.6,3302.1,2780.6,3969.3,3526.6,3934.5,4890.2,4895.2,4274.1,4344.4,3911.7,3389.1,3453.5,3387.1,4149,3710.8
0,0,Balch,0,Balch Springs Police Dept,TX,Property Crime Rate,4820,8390.4,7881.4,8211.6,7557.1,10576.8,7391.6,6500.5,6018.6,5941.5,6495.9,6231.9,5716.9,5752.1,6427.8,4815.5,5531.2,6087.9,6697.7,6409.9,6159.4,6096.8,6326.8,8390.4,8408.1,6806.3,6290.5,5623.8,5530.9,4264
0,0,Bastrop,1,Bastrop County Sheriff Department,TX,Property Crime Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Bay,0,Bay City Police Dept,TX,Property Crime Rate,7092.8,7766.5,8268.3,8165.1,7448.5,9097.4,10572.8,9181.9,9575,8241.5,6744.6,6688.7,5856.1,5016.3,5919.3,7023.1,5583.8,5508.3,6212.3,5687.1,4645.9,4744.7,5974.4,5043.8,5064.3,4678.1,3808.7,3781.8,4050.7,4153.3
1,0,Baytown,0,Baytown Police Dept,TX,Property Crime Rate,5570.4,6504.7,5987.8,5810.7,8477.4,8772.1,8170.3,6828.8,6147.2,5242,5247.1,5462.4,4982.6,4468.7,4283.1,4540.1,4161.1,4407.2,4275.9,4258.5,4445.5,4598.3,4487.3,4896.9,5654,5360.6,4849.1,4950.3,4956,4140.2
0,0,Beaumont,0,Beaumont Police Dept,TX,Property Crime Rate,6500.5,7599.5,9684.3,9619.3,9366.1,9845.8,9593,9839.4,9434.8,8610.3,8491.6,7565.5,6553.5,7157.4,7861,6296.9,6638.9,7813.6,7702.4,7751.8,7289.2,6055.7,6075.3,5869.7,5743.1,5022.1,5510.6,4840.3,5239.6,4690.5
0,0,Bedford,0,Bedford Police Dept,TX,Property Crime Rate,6414.4,7308.1,8076.4,6561.9,5940.5,5376.8,4812.6,3847.3,3432.6,3020.4,3204.2,3395.8,3105.4,2811.1,3005.7,3164.2,3765.9,3707.5,3942.6,3924,3686,3239.5,3540.7,3623.2,3562.5,3759.1,3179.2,2729.5,2780.7,2687
0,0,Beeville,0,Beeville Police Dept,TX,Property Crime Rate,4055.9,3911.2,3072.3,3926.6,5935.4,6023.5,5543.5,4360.8,5025.5,5962.2,5482.2,6097.2,6688.4,4697.7,4600.3,3214.3,3113.1,3121.1,2985.4,4030.2,3519.4,3255.9,3097.4,3284.2,3369.7,2651,2390.7,1950.1,2875.4,3157.4
0,0,Bell,1,Bell County Sheriff Department,TX,Property Crime Rate, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Bellaire,0,Bellaire Police Dept,TX,Property Crime Rate,4671.6,4227.8,4687.2,4533.2,4476.8,4760.9,4477.6,4031.4,3788,3568.3,2757,2875.7,2397.8,2524.8,2867.3,3107,3669.4,2931.8,2347.2,2678.3,2635.4,2204.1,1694.7,2222.1,1973.8,2011.3,1952.4,1899.2,1861.8,1829.4
